Restaurant ID,Restaurant Name,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
311725,Big Jack's,"Continental, Burger, American",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.5,Yellow,Good,129
18365994,Kebab Gali,"North Indian, Mughlai, Biryani",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,164
18254524,Lucknow Mail,"Awadhi, North Indian, Mughlai",800,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,86
18070480,Monster's Cafe,"Continental, North Indian, Chinese",1200,Indian Rupees(Rs.),No,Yes,Yes,No,3,3.5,Yellow,Good,269
312261,Monty's Chicken Wings,Fast Food,600,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,124
18433890,My Country Platter,"Asian, Chinese, North Indian",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.8,Yellow,Good,61
18138434,SARA World Cuisine,"Italian, Fast Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,3.9,Yellow,Good,90
303100,Wah! Amritsar,"North Indian, Mughlai",750,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,213
18025125,World In A Box,"Healthy Food, European, Continental, Salad",750,Indian Rupees(Rs.),No,Yes,No,No,2,3.6,Yellow,Good,461
18425140,Bun Intended,"Burger, American, Fast Food",850,Indian Rupees(Rs.),No,Yes,No,No,2,4.2,Green,Very Good,93
18241497,Cafe Gatherings,"Cafe, Continental",750,Indian Rupees(Rs.),No,Yes,No,No,2,4.4,Green,Very Good,161
18153541,Cafe Soul Garden,"Cafe, Continental, Italian, Pizza",1300,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.1,Green,Very Good,255
18339049,Food O Gram,"North Indian, Mughlai",600,Indian Rupees(Rs.),No,Yes,No,No,2,4,Green,Very Good,88
18232093,Happy Hakka,"Chinese, Asian, Thai",650,Indian Rupees(Rs.),No,Yes,No,No,2,4.1,Green,Very Good,134
18361762,Kaiser,"North Indian, Mughlai",650,Indian Rupees(Rs.),No,Yes,No,No,2,4.1,Green,Very Good,152
18025098,Pizza Central,"Fast Food, Italian, Pizza",600,Indian Rupees(Rs.),No,Yes,No,No,2,4.1,Green,Very Good,151
18337913,Tasty Fare,"American, Fast Food",600,Indian Rupees(Rs.),No,Yes,No,No,2,3.4,Orange,Average,42
18138446,Burger Point,"Burger, Fast Food",300,Indian Rupees(Rs.),No,Yes,No,No,1,3.6,Yellow,Good,39
18383447,Drifters Cafe,"Chinese, Thai, Asian",400,Indian Rupees(Rs.),No,Yes,No,No,1,3.9,Yellow,Good,40
18381262,Oh! Fudge,"Bakery, Desserts",300,Indian Rupees(Rs.),No,Yes,No,No,1,3.8,Yellow,Good,93
